=========================================
SLURM_JOB_ID = 18034
SLURM_JOB_NODELIST = node20-100
SLURM_CPUS_ON_NODE = 1
SLURM_JOB_PARTITION = RT
SLURM_TASK_PID = 287037
==========================================
RMS: 0.0310007 (valid: 0.0863147), noise: 0.112713
RMS: 0.0270925 (valid: 0.0611089), noise: 0.101442
RMS: 0.025049 (valid: 0.0673914), noise: 0.101442
RMS: 0.0246699 (valid: 0.0683739), noise: 0.101442
RMS: 0.0179876 (valid: 0.047639), noise: 0.101442
RMS: 0.0161621 (valid: 0.0407961), noise: 0.101442
RMS: 0.0189881 (valid: 0.0567799), noise: 0.101442
RMS: 0.020545 (valid: 0.047729), noise: 0.0912976
RMS: 0.0183559 (valid: 0.049843), noise: 0.0912976
RMS: 0.0160449 (valid: 0.0374122), noise: 0.0912976
RMS: 0.0159005 (valid: 0.0301758), noise: 0.0912976
RMS: 0.0198995 (valid: 0.0358908), noise: 0.0912976
RMS: 0.0161186 (valid: 0.0313078), noise: 0.0821678
RMS: 0.0155603 (valid: 0.0308827), noise: 0.0821678
RMS: 0.0167383 (valid: 0.0316622), noise: 0.0821678
RMS: 0.014547 (valid: 0.0242021), noise: 0.073951
RMS: 0.0123676 (valid: 0.0216678), noise: 0.073951
RMS: 0.0139256 (valid: 0.0254032), noise: 0.073951
RMS: 0.0126157 (valid: 0.0210513), noise: 0.0665559
RMS: 0.0106783 (valid: 0.0212447), noise: 0.0665559
RMS: 0.0119948 (valid: 0.0251034), noise: 0.0665559
RMS: 0.00919211 (valid: 0.0183513), noise: 0.0599003
RMS: 0.0090567 (valid: 0.0216257), noise: 0.0599003
RMS: 0.00858311 (valid: 0.0170603), noise: 0.0599003
RMS: 0.01012 (valid: 0.0187229), noise: 0.0599003
RMS: 0.0082416 (valid: 0.0161464), noise: 0.0539103
RMS: 0.00790743 (valid: 0.0148126), noise: 0.0539103
RMS: 0.00952517 (valid: 0.021229), noise: 0.0539103
RMS: 0.00730387 (valid: 0.0166962), noise: 0.0485193
RMS: 0.00678596 (valid: 0.0150674), noise: 0.0485193
RMS: 0.00697463 (valid: 0.0158458), noise: 0.0485193
RMS: 0.00794834 (valid: 0.0187297), noise: 0.0436674
RMS: 0.00792902 (valid: 0.0199766), noise: 0.0436674
RMS: 0.00681911 (valid: 0.0148491), noise: 0.0436674
RMS: 0.006667 (valid: 0.0115244), noise: 0.0436674
RMS: 0.00621275 (valid: 0.0120384), noise: 0.0436674
RMS: 0.00586309 (valid: 0.00913811), noise: 0.0436674
RMS: 0.00667118 (valid: 0.0104194), noise: 0.0436674
RMS: 0.00681337 (valid: 0.0104294), noise: 0.0393006
RMS: 0.0067839 (valid: 0.012824), noise: 0.0393006
RMS: 0.00769686 (valid: 0.0124637), noise: 0.0393006
RMS: 0.00791321 (valid: 0.0135998), noise: 0.0353706
RMS: 0.00854342 (valid: 0.0147922), noise: 0.0353706
RMS: 0.00726225 (valid: 0.0138169), noise: 0.0318335
RMS: 0.00669665 (valid: 0.0122977), noise: 0.0318335
RMS: 0.00663971 (valid: 0.0140252), noise: 0.0318335
RMS: 0.00620854 (valid: 0.0122689), noise: 0.0318335
RMS: 0.00617751 (valid: 0.0130597), noise: 0.0318335
RMS: 0.0060285 (valid: 0.0146037), noise: 0.0318335
RMS: 0.00713179 (valid: 0.0160639), noise: 0.0318335
RMS: 0.00651575 (valid: 0.0152413), noise: 0.0286501
RMS: 0.00644377 (valid: 0.0151509), noise: 0.0286501
RMS: 0.00615991 (valid: 0.0130249), noise: 0.0286501
RMS: 0.00591339 (valid: 0.011748), noise: 0.0286501
RMS: 0.00501321 (valid: 0.0113207), noise: 0.0286501
RMS: 0.00549513 (valid: 0.0126987), noise: 0.0286501
RMS: 0.00507203 (valid: 0.0124906), noise: 0.0257851
RMS: 0.00493289 (valid: 0.01094), noise: 0.0257851
RMS: 0.00441877 (valid: 0.00973353), noise: 0.0257851
RMS: 0.00400193 (valid: 0.0100525), noise: 0.0257851
RMS: 0.00345265 (valid: 0.00966951), noise: 0.0257851
RMS: 0.0032788 (valid: 0.00732037), noise: 0.0257851
RMS: 0.00335206 (valid: 0.00620835), noise: 0.0257851
RMS: 0.00332368 (valid: 0.00723873), noise: 0.0232066
RMS: 0.00295402 (valid: 0.00734783), noise: 0.0232066
RMS: 0.00275491 (valid: 0.00770504), noise: 0.0232066
RMS: 0.00279147 (valid: 0.00748087), noise: 0.0232066
RMS: 0.00314633 (valid: 0.00889703), noise: 0.020886
RMS: 0.00266987 (valid: 0.0060277), noise: 0.020886
RMS: 0.00261179 (valid: 0.00675867), noise: 0.020886
RMS: 0.0024618 (valid: 0.00572121), noise: 0.020886
RMS: 0.0025213 (valid: 0.00663306), noise: 0.020886
RMS: 0.00251407 (valid: 0.00615489), noise: 0.0187974
RMS: 0.0025851 (valid: 0.00637329), noise: 0.0187974
RMS: 0.00261455 (valid: 0.00671696), noise: 0.0169176
RMS: 0.00240685 (valid: 0.00642432), noise: 0.0169176
RMS: 0.00229252 (valid: 0.00610584), noise: 0.0169176
RMS: 0.00190582 (valid: 0.00440978), noise: 0.0169176
RMS: 0.00181978 (valid: 0.00414732), noise: 0.0169176
RMS: 0.00187159 (valid: 0.00368282), noise: 0.0169176
RMS: 0.00178966 (valid: 0.00353106), noise: 0.0152259
RMS: 0.00180944 (valid: 0.00389584), noise: 0.0152259
RMS: 0.00164251 (valid: 0.00403679), noise: 0.0137033
RMS: 0.00156626 (valid: 0.00321928), noise: 0.0137033
RMS: 0.00162259 (valid: 0.00299244), noise: 0.0137033
RMS: 0.00152123 (valid: 0.00310042), noise: 0.0123329
RMS: 0.00144608 (valid: 0.00299796), noise: 0.0123329
RMS: 0.00128058 (valid: 0.00288443), noise: 0.0123329
RMS: 0.00131277 (valid: 0.00323991), noise: 0.0123329
RMS: 0.00127142 (valid: 0.002969), noise: 0.0110997
RMS: 0.00122405 (valid: 0.00276787), noise: 0.0110997
RMS: 0.00134287 (valid: 0.00371866), noise: 0.0110997
RMS: 0.00115691 (valid: 0.00281965), noise: 0.00998969
RMS: 0.00112699 (valid: 0.00270139), noise: 0.00998969
RMS: 0.00112065 (valid: 0.0030789), noise: 0.00998969
RMS: 0.00105847 (valid: 0.00272522), noise: 0.00998969
RMS: 0.00107376 (valid: 0.00315037), noise: 0.00998969
RMS: 0.00104991 (valid: 0.00273381), noise: 0.00899072
RMS: 0.000990668 (valid: 0.00242265), noise: 0.00899072
RMS: 0.0010305 (valid: 0.00279679), noise: 0.00899072
RMS: 0.000903293 (valid: 0.00263216), noise: 0.00809165
RMS: 0.000912519 (valid: 0.00225264), noise: 0.00809165
RMS: 0.000842105 (valid: 0.00199605), noise: 0.00728248
RMS: 0.000798886 (valid: 0.00200758), noise: 0.00728248
RMS: 0.000799372 (valid: 0.00183585), noise: 0.00728248
RMS: 0.000779469 (valid: 0.00191888), noise: 0.00655424
RMS: 0.00075866 (valid: 0.00194205), noise: 0.00655424
RMS: 0.000778081 (valid: 0.0022759), noise: 0.00655424
RMS: 0.000783376 (valid: 0.00221514), noise: 0.00589881
RMS: 0.000792947 (valid: 0.00207165), noise: 0.00589881
RMS: 0.000720914 (valid: 0.00197193), noise: 0.00530893
RMS: 0.000755237 (valid: 0.00180228), noise: 0.00530893
RMS: 0.00071798 (valid: 0.00199871), noise: 0.00477804
RMS: 0.000710515 (valid: 0.00174845), noise: 0.00477804
RMS: 0.000694858 (valid: 0.00170739), noise: 0.00477804
RMS: 0.000718066 (valid: 0.00167989), noise: 0.00477804
RMS: 0.000676958 (valid: 0.00184007), noise: 0.00430023
